Sr. No,"Regulations/
Standards",Observation,Recommendation,Priority,Asset Category,Location,Type of Hazard,Element,Image,Priority_Score,Hazard_Fire,Hazard_Shock,Hazard_Security,Hazard_Material,Hazard_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hazard_Weight_Sum,Risk_Score
1,IS 1646,"Fire alarm panel off condition. After switch ON, battery fault, fault alarm observed.","Ensure the fire alarm panel remains powered ON at all times. Connect to an uninterruptible power supply (UPS) or dedicated emergency power circuit to prevent accidental shutdown. A ""battery fault"" on a fire alarm panel after switching it on from an ""off"" state, observed under Indian Standard (IS) 1646, likely means the panel's backup battery is either faulty or not charging properly, or that there's an issue with the power supply to the panel. To resolve this, you should inspect the backup battery for damage and ensure its fully charged, then check the electrical connections and power supply to the panel. If the issue persists, professional help may be needed to diagnose a deeper system fault.",MEDIUM,Fire Alarm Panel,Main Security Building – Visitors Room,FIRE,Maintenance & Compliance,/content/word_images/1_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
2,CEA MSES 2023 Reg 14,LDB 4 2.5 sq mm cable with C63 A MCB is used.,"For a 2.5 sq.mm Cu cable, use: B20A or C20A MCB (max) The protective device rating must not exceed the current carrying capacity of the cable. C20A or lower depending on actual load current and cable installation method. Using a 2.5 sq mm LDB 4 cable with a C63 A MCB is a safety risk, as the cable's current carrying capacity is significantly lower than the MCB's rating, creating a fire hazard. A 2.5 sq mm cable is suitable for loads around 20 25 amps, whereas a C63 (63 Amp) MCB is designed to protect circuits up to 63 amps, meaning the cable could overheat and melt before the MCB trips. This combination is incorrect and requires correction by using a higher rated cable (e.g., 6 sq mm or more for this current) or a lower rated MCB (e.g., 25A or 32A for 2.5 sq mm cable).",HIGH,Distribution Board,Main Security Building – Visitors Room,FIRE/SHOCK,Design & Engineering,/content/word_images/2_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
3,IS 1646,Fire alarm cable is unarmoured.,"Replace unarmoured cables with armoured fire rated cables, such as: Steel Wire Armoured (SWA) or Steel Tape Armoured (STA) types. These provide mechanical protection and fire resistance.",LOW,Fire Alarm Panel,Main Security Building – Visitors Room,FIRE,Maintenance Compliance,/content/word_images/3_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
4,Good Engineering Practice,Unauthorised entry in Emergency control center.,"Restrict access to ECC using: Biometric access, RFID card, or electronic keypad locks. Allow entry only to trained and authorized personnel (e.g., facility manager, fire officer, control room operators). Maintain a list of authorized personnel and review periodically.",LOW,Control Room,Emergency control center.,UNAUTHOURIZED ACCESS,System Deviation,,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,Good Engineering Practice,"Alcohol, frisking and metal detector & quantity to be increased at security gate.","Install additional alcohol breath analysers at all major entry points. Make alcohol screening mandatory for all contract workers, labourers, and plant operating staff. Provide frisking booths with proper privacy for male and female personnel. Install more handheld and walkthrough metal detectors at entry points. The statement, ""Alcohol, frisking and metal detector & quantity to be increased at security gate,"" suggests increasing the frequency of security checks for prohibited items and potentially alcohol, along with implementing more metal detection screenings and possibly even increasing the number of security personnel and equipment.",LOW,Security Equipment,Emergency control center.,SECURITY,Operational Difficulties.,,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5
6,CEA MSES 2023 Reg 14,LDB 3/4 2.5 sq/mm cable with C63A MCB is used.,"For a 2.5 sq.mm Cu cable, use: B20A or C20A MCB (max) The protective device rating must not exceed the current carrying capacity of the cable. C20A or lower depending on actual load current and cable installation method.",HIGH,Distribution Board,Emergency control center.,FIRE/SHOCK,Design & Engineering,/content/word_images/6_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
7,CEA MSES 2023 Reg 44,RCB not tripping while pressing test switch. Tour,"Replace with a new, IS/IEC certified RCB of appropriate: Current rating (e.g., 25A, 40A, 63A) Sensitivity (typically 30 mA for personal protection or 100/300 mA for equipment/fire protection).",HIGH,Distribution Board,Emergency control center.,FIRE/SHOCK,System Deviation,/content/word_images/7_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
8,Good Engineering Practice,"Recently observed theft inside Solar Panel Yard, in which copper materials burglary observed.","Install a checkpoint based Tour Guarding System using: RFID or NFC tags placed at key locations Handheld data loggers or mobile apps used by security guards to scan checkpoints Alternatively, adopt GPS based patrol tracking for open area facilities.",NONE,,Emergency control center.,MATERIAL LOSS,Accountability,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0
9,CEA MSES 2023 Reg 21,Aluminium ladder not to be used for electrical activities.,"Immediately stop the use of aluminium or any conductive ladders in the CCTV room or similar electrical/electronic control rooms. Regular practice prohibit the use of aluminium ladders inside electrical panel rooms or in proximity to energized equipment because they are conductive and pose a severe risk of electric shock, burns, and fatalities due to conductivity.",HIGH,Ladder,CCTV Room,FIRE/SHOCK,System Deviation,/content/word_images/9_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
10,CEA MSES 2023 Reg 14,LDB 2 2.5 sq mm cable with C63A MCB is used.,"For a 2.5 sq.mm Cu cable, use: B20A or C20A MCB (max) The protective device rating must not exceed the current carrying capacity of the cable. C20A or lower depending on actual load current and cable installation method.",HIGH,Distribution Board,CCTV Room,FIRE/SHOCK,Design & Engineering,,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
